1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;;;;;;;;;;;;;;;
-0.266135992;-0.304874589;-0.545312388;-0.885460166;-0.760686158;-0.552576945;-0.771948526;-0.442868022;-0.173834002;-0.484758285;-0.125487453;-0.249528358;-0.643299398;-0.468897245;-0.328416926;-0.206188698;-0.320922296;-0.19085824;-0.329824615;-0.351982767;-0.388583927;;;;;;;;;;;;;;;
-0.561377391;-1.389667486;-0.709602661;-1.273818136;-1.12428724;-0.576908916;-1.040541379;-0.777806799;-0.770861312;-0.661140841;-0.351931371;-0.272931096;-1.031827562;-1.172944453;-0.394903116;-0.593369272;-0.295004935;-0.377515429;-0.555056799;-0.316254975;-0.352494769;;;;;;;;;;;;;;;
-0.295459157;-0.6773088;-0.538453985;-1.095145329;-0.636360266;-0.836775337;-0.944846811;-0.658383242;-0.374838597;-0.242482528;-0.075499097;-0.387039491;-0.608738806;-0.831263942;-0.441666107;-0.280147091;-0.111602149;-0.276579917;-0.14271507;-0.316685521;-0.172221506;;;;;;;;;;;;;;;
-0.1636158;-0.634437363;-0.350337446;-0.721032785;-0.727956532;-0.281790586;-0.432640016;-0.504810158;-0.182131016;-0.212582371;-0.042209745;-0.342960962;-0.444235718;-0.322682846;-0.289062946;-0.16896884;-0.133853997;-0.153411741;-0.136436827;-0.113305163;-0.166645925;;;;;;;;;;;;;;;
-0.798627224;-1.35063488;-1.06348616;-1.735218974;-1.355438047;-1.083623543;-1.490183016;-1.534967161;-0.951773705;-1.577070145;-0.29925305;-1.455698716;-1.668438072;-1.052446631;-0.65275195;-0.887733615;-0.515216921;-0.556367365;-0.88324736;-0.42035583;-0.516652284;;;;;;;;;;;;;;;
-0.071578747;-0.230440675;-0.088816426;-0.344907641;-0.299720511;-0.170287276;-0.204792485;-0.191952026;-0.134926289;-0.129752228;-0.004170588;-0.083983009;-0.144353904;-0.135509666;-0.178025154;-0.033902682;-0.051280203;-0.01537096;-0.022826138;-0.06784038;-0.057839078;;;;;;;;;;;;;;;
-0.672677089;-0.737092177;-0.723924148;-1.639089927;-1.075495775;-0.914068199;-1.215664095;-1.610287608;-0.566088798;-0.990546736;-0.514029282;-0.67463972;-1.033591703;-1.168991522;-0.725807248;-0.783760844;-0.385113259;-0.696556601;-0.590945206;-0.564713091;-0.771195906;;;;;;;;;;;;;;;
-2.464548493;-2.522112418;-2.663667177;-3.16016968;-2.138773766;-2.047691347;-2.431664504;-2.58907239;-1.880221281;-2.175887872;-1.730680604;-1.286291344;-2.616946428;-2.779499057;-1.047842508;-1.741048538;-0.679706388;-2.066303823;-1.283543669;-1.180854705;-1.455003221;;;;;;;;;;;;;;;
-1.334388928;-1.837409405;-1.594464492;-2.288705417;-2.447900879;-1.213927818;-2.114564431;-1.816701758;-1.32158443;-1.416307717;-0.69015217;-0.940522237;-1.508006598;-1.811533045;-0.622676439;-1.368731954;-0.583864661;-1.459914218;-1.168424697;-1.016688501;-1.34380862;;;;;;;;;;;;;;;
-0.09525853;-0.344448697;-0.115442299;-0.355364449;-0.274621633;-0.123026635;-0.274335437;-0.198587962;-0.146908077;-0.069245114;-0.005340931;-0.289176036;-0.142243355;-0.326497917;-0.210347401;-0.054851363;-0.037190826;-0.063501093;-0.043046282;-0.038238043;-0.116442724;;;;;;;;;;;;;;;
-1.333875005;-1.366167418;-1.174728721;-2.024852699;-1.159904863;-0.649408144;-1.104802354;-1.297922869;-0.992879438;-0.692061192;-0.471869475;-0.597509634;-1.19172835;-1.130787505;-0.280207073;-0.744574746;-0.519354147;-0.585793712;-0.469628917;-0.510260862;-0.686658485;;;;;;;;;;;;;;;
-0.841455554;-1.61157868;-1.515513228;-2.156894379;-2.267567275;-1.502479052;-1.729785226;-2.050656316;-0.868904592;-1.052463258;-0.234595683;-1.756113763;-1.723703333;-1.32838033;-0.843572061;-0.851600484;-0.489781379;-0.464412668;-0.483829576;-0.555248792;-0.617843333;;;;;;;;;;;;;;;
-1.148140803;-2.348229071;-1.527988133;-2.306042956;-2.091745878;-1.497466167;-1.835993087;-1.843629208;-1.752331053;-2.154652385;-0.777810417;-1.406668705;-1.845650041;-1.916523511;-1.180696436;-1.419116951;-0.851581858;-1.541769933;-1.272978599;-0.888717274;-1.141155716;;;;;;;;;;;;;;;
-3.491949549;-3.475013424;-4.06720067;-5.207852606;-4.525294971;-3.482205995;-3.445687556;-4.875037663;-2.750964925;-3.475701827;-3.854685779;-2.328226065;-4.553787541;-3.521522717;-1.656545444;-4.265877191;-2.324495949;-3.782953911;-2.584567788;-2.623651505;-3.083119946;;;;;;;;;;;;;;;
-1.08440154;-1.568389797;-1.324201762;-2.209437899;-1.709261368;-1.540748221;-1.455576675;-1.529628058;-1.063080328;-0.920397364;-0.374060347;-0.843127598;-1.771768467;-1.938954705;-0.945625646;-0.509457738;-0.478001593;-0.697671482;-0.662452592;-0.46401259;-0.58162687;;;;;;;;;;;;;;;
-0.03840671;-0.043516894;-0.074113334;-0.136389333;-0.188850496;-0.10203233;-0.151283674;-0.050659825;-0.058371073;-0.048788704;-0.008679442;-0.121983956;-0.073123992;-0.119184302;-0.319530493;-0.009908781;-0.044718406;-0.040670698;-0.005174092;-0.022734582;-0.028328853;;;;;;;;;;;;;;;
-1.763850646;-1.786911702;-1.596345033;-2.747111753;-2.343741589;-1.961353887;-2.063499232;-2.610888173;-1.680472685;-2.019613016;-1.426682588;-1.340231046;-3.337745267;-2.052716226;-1.577591563;-2.498381198;-0.878726348;-1.764644518;-1.156467444;-2.217896353;-1.501399104;;;;;;;;;;;;;;;
-0.197244763;-0.499370849;-0.18266399;-0.656412556;-0.558228877;-0.510264354;-0.470678255;-0.719173961;-0.521727785;-0.495090266;-0.052458466;-0.469463073;-0.540624329;-0.684897948;-0.383743182;-0.11115899;-0.162881814;-0.104817428;-0.07550333;-0.153293754;-0.165142733;;;;;;;;;;;;;;;
-2.007657115;-1.981478134;-1.944780967;-2.549315101;-1.618178263;-2.02555993;-2.155690467;-3.015064091;-1.327901032;-1.432138057;-0.97438411;-1.067162626;-2.197730787;-2.209072999;-0.809824545;-1.236649251;-0.679454621;-1.402366185;-0.780481015;-1.094454168;-1.073168682;;;;;;;;;;;;;;;
