"Respondent","att1_1","att1_2","att1_3","att1_4","att1_5","att1_6","att1_7","att1_8","att1_9","att1_10","att1_11","att1_12","att1_13","att1_14","att1_15","att1_16","att1_17","att1_18","att1_19","att1_20","att1_21","att1_22","none"
4068605,-1.554819388,0.9239578507,0.4267598362,-2.400215045,-3.828161253,-0.3622950065,-1.472259998,-3.114154876,-2.526114168,1.669946666,2.757732676,-0.2352713126,0.08554983518,1.683285287,0.09447323977,0.2927591116,1.374699907,0.07590861402,1.265893056,-0.6161176019,1.265036069,1.499896204,-6.589026236
4068614,2.186909894,1.277562891,-2.847740218,-0.6872449457,-1.249239305,7.340576908,3.532362237,6.699031386,4.66678348,-1.22381521,-3.313075294,-2.86488524,1.069036648,-1.186264467,1.5280797,-2.004789241,-1.491277899,-0.4380072216,-0.9890969384,-1.051284039,-0.7951838125,-0.01741219293,-0.5719355788
4068643,6.081448014,7.095997288,3.947319876,-0.5747094372,0.4102290687,4.854522312,1.102887562,4.984344868,1.308373989,-0.8679218341,-3.506825771,-1.168610404,3.429593858,0.2302922285,0.233493306,0.06689552336,-0.6035740107,-0.8344003484,1.409271041,-2.113978614,-0.3914189362,0.2629750248,-2.701990685
4068666,0.3989351173,1.015032046,-1.313316991,-1.783766938,-1.403233849,2.304277713,4.807751857,1.938120997,0.9435114368,0.01373083544,-1.425217942,-2.169398375,0.05437275492,-0.151528947,-0.01508283378,-0.2732798122,0.1796148904,0.06815472927,-0.0940726755,0.7009203471,-0.3696536576,1.146340794,-2.694462139
4068687,-2.368347812,-1.746175788,-3.685366133,-1.461459523,0.853832474,0.5247590538,5.377730698,2.175678649,0.4779443651,-0.3102965625,-1.617301444,-2.980136818,-0.5958421333,-0.8537487573,-0.5159520336,0.825057185,0.3851303145,0.9351785936,-0.565555183,3.327064666,0.287355049,0.6784261931,2.099916169
4068718,2.170439414,0.84982316,-0.9537512089,-2.401795338,-1.994332706,2.240333585,6.145687126,2.095893707,2.697315755,-0.0608338267,-2.395445522,-2.594137815,-0.07518175482,-0.34986933,0.2113225784,-0.6469221033,-0.6812135699,0.2171451892,-0.6274140756,0.5388696858,-0.7886972429,1.416436251,-2.631527322
4068765,1.109968959,2.283234504,1.304811558,-2.333077415,-1.92528787,0.1118532738,-2.257452062,-2.348623073,-2.470630429,1.099423671,1.53097965,0.2631868282,1.582906548,1.744175781,-0.2400652587,0.6666677681,1.365702558,-0.2837945429,1.530644356,-1.202115179,1.371622428,0.7368195711,-4.722029571
4068782,0.371192727,-1.288547528,-2.008906693,-6.583650288,-6.184828519,1.283572005,1.843392326,3.563073011,6.156962341,-0.4941825706,-0.1862662711,-2.696744607,0.417297563,1.251948328,2.978206541,-1.678395912,-2.320866606,0.524844296,0.1043399489,-0.3399384682,-0.03904738474,1.56886029,-2.279765137
4068790,-1.307681937,1.851820889,2.357382327,-4.747287878,-4.140983345,-1.275546778,-2.995578113,-0.4510893988,-1.018711677,0.6683667639,2.536866022,-0.32284068,1.649885514,2.78415702,1.396641856,0.9833858155,0.3055551762,0.3969607705,2.470558806,-0.299996779,1.419113286,1.347422068,-4.66056581
4068820,2.878803899,-0.1591269979,-2.284810473,0.3398806037,0.4972721821,5.56317892,-0.792335705,1.367430095,0.9276859664,0.0383598477,-1.656716402,-0.8875482075,1.383603972,-0.708543379,-0.07043993473,-0.8505051099,0.3500793706,-0.4218480476,-0.480862026,-1.643373288,0.444652428,-0.9098939722,-0.4773280072
