InterviewID,turfList,mxdf@1,w
4440962,3,20,.95464430733801
4441067,5,7,.946360645794854
4441114,6,12,.776594946133272
4441128,6,26,.991132369476739
4441204,13,27,.996073354890837
4441323,1,24,1.08591556001226
4441395,19,15,.813335161922596
4441579,30,10,.959403392747257
4441673,16,4,.996073354890837
4441807,30,28,.996073354890837
4441934,27,28,.991132369476739
4441955,23,28,.776594946133272
4442093,13,29,.95464430733801
4442160,18,5,.911520833159494
4442177,2,5,.95464430733801
4442204,15,24,.991132369476739
4442224,8,9,.991132369476739
4442228,26,3,.991132369476739
4442351,4,26,.828526953226433
4442412,16,23,.817389794074257
4442432,19,2,.813335161922596
4442443,22,8,.817389794074257
4442504,12,19,.817389794074257
4442536,9,14,.514109949564975
4442628,28,1,.817389794074257
4442753,21,27,.991132369476739
4443012,21,12,.911520833159494
4443984,17,4,.813335161922596
4444113,3,13,.49518323870014
4444230,24,30,.996073354890837
4444303,7,15,.959403392747257
4444386,25,7,.946360645794854
4444426,10,11,1.23991567609217
4444447,5,10,.959403392747257
4444527,5,6,.805621795993865
4444532,5,17,.686371383411018
4444533,1,17,.828526953226433
4444536,1,6,1.03649481038814
4444540,5,16,.946360645794854
4444543,1,21,.991132369476739
4444545,1,6,.996073354890837
4444549,1,10,.813335161922596
4444554,1,6,.959403392747257
4444559,5,6,1.24609689412011
4444566,1,21,1.24609689412011
4444567,1,6,.817389794074257
4444573,1,6,.817389794074257
4444575,1,6,.614562353632067
4444577,1,17,.991132369476739
4444578,1,21,.686371383411018
4444580,1,17,.836413974742101
4444588,14,21,.813335161922596
4444589,22,17,1.24609689412011
4444593,28,16,.817389794074257
4444594,29,21,.95464430733801
4444595,30,17,.991132369476739
4444602,21,28,.991132369476739
4444609,27,17,.813335161922596
4444612,27,17,.959403392747257
4444614,25,17,.805621795993865
4444615,12,17,.911520833159494
4444625,6,17,.95464430733801
4444628,15,17,.959403392747257
4444639,28,23,.817389794074257
4444642,22,8,.813335161922596
4444644,13,27,.776594946133272
4444647,28,7,.686371383411018
4444648,4,29,.813335161922596
4444650,25,26,.817389794074257
4444651,28,23,.959403392747257
4444658,19,13,.991132369476739
4444661,16,7,.959403392747257
4444663,19,12,.946360645794854
4444664,27,22,1.18390583951692
4444665,15,10,1.23991567609217
4444669,26,23,.514109949564975
4444672,26,13,.817389794074257
4444674,26,23,.959403392747257
4444676,15,3,.991132369476739
