LOCAL	DL.CH	ZUB	DL.TR	DL.OL	SH.OL	STLB	LMAX	CHER	hue	magenta	lightness	yfrac	nwse	div
32	306	18.05	7.6	19.35	15.95	15.35	1.8	58.8	14.85	163.5	15.25	90	55	144.401737963598	1.4956157801725
33	307	17.4	6.95	17.05	15.05	14.45	1.8	58.1	15.3	15.25	1.9	98.75	95	144.394605937352	0.198515243345873
34	308	15.4347826086957	6.21739130434783	17.4347826086957	15.5217391304348	13.8260869565217	1.60869565217391	63.3913043478261	19.8695652173913	70.8695652173913	9.52173913043478	93.9130434782609	78.2608695652174	144.09816674075	1.0861895081867
35	309	16.9	7.85	19.2	15.65	15.3	2	83.7	30.25	302.25	52.2	67.25	0	157.551390873323	1.12237212906693
36	310	16.6428571428571	7.42857142857143	17.1428571428571	14.2857142857143	13.2142857142857	1.85714285714286	62.1428571428571	15.5	305	60.9285714285714	62.8571428571429	0	157.732911479426	0.991138896613094
37	311	15.75	6.8	17.15	14.85	13.5	2	48.85	12.5	272.25	50.7	68.75	10	157.961043622131	1.48779838000165
38	312	15.3809523809524	6	17.7142857142857	12.8095238095238	10.8571428571429	1.80952380952381	59.6190476190476	16.952380952381	302.380952380952	63.6666666666667	61.4285714285714	0	179.141604019173	1.44677290235056
39	313	16.6	7.13333333333333	18.6	16.7333333333333	14.3333333333333	1.86666666666667	59.3333333333333	15.6666666666667	302.333333333333	62.1333333333333	62.3333333333333	0	179.315856185981	1.06060180561246
40	314	16.3157894736842	6.78947368421053	18.0526315789474	14.2631578947368	12.5789473684211	2	72.3684210526316	24.9473684210526	268.947368421053	44.0526315789474	72.1052631578947	10.5263157894737	179.490730991215	1.33418637493295
44	323	16.2	7.45	20.1	14.85	11.4	1.75	88.55	26.95	291.75	56.3	63.75	0	273.048248683441	1.54447952109686
45	324	17	7.6	19.7333333333333	14.8666666666667	11.4666666666667	1.8	60.2	10.8666666666667	300.333333333333	66.7333333333333	60.3333333333333	0	273.49033245905	0.891867395317251
46	325	16.1904761904762	6.90476190476191	18.8095238095238	14.3333333333333	10.7142857142857	1.80952380952381	67.3333333333333	17	302.857142857143	71.2857142857143	58.0952380952381	0	271.563217658477	0.909925047153752
50	402	15.125	6.58333333333333	18.375	13.6666666666667	12.4583333333333	1.5	51.625	14.6666666666667	277.708333333333	49.3333333333333	69.375	8.33333333333333	119.481238457351	1.48001688522303
51	407	16.45	6.75	17.95	14.55	13.55	2	68.45	22.25	279.75	38.55	75.25	10	120.004339505885	1.39948860785906
52	414	15.1428571428571	6.33333333333333	18.1904761904762	13.952380952381	12.1904761904762	1.52380952380952	47.6666666666667	16.5238095238095	298.095238095238	53.0476190476191	66.1904761904762	0	172.941366898485	1.52567151976335
53	415	15.5	6.5	18.6	14.35	13	1.85	72.5	19.45	228.25	44.8	72.75	25	172.591967870645	1.54447952109686
54	416	15.9444444444444	6.72222222222222	19.1666666666667	15.3333333333333	13.7222222222222	1.5	49.6666666666667	11.3888888888889	220.277777777778	33.6666666666667	78.6111111111111	27.7777777777778	172.712254664873	1.25899102885542
59	421	15.45	7	18.85	12.2	10.9	1.7	57.2	15.25	293.25	56.25	65.75	5	217.562975379845	1.35923670066501
60	422	19.0833333333333	8.41666666666667	15.9166666666667	15.5833333333333	15.0833333333333	1.83333333333333	97.75	12.6666666666667	291.666666666667	47.5	68.3333333333333	0	187.694931882348	1.2366848691405
61	501	17.5	8	18	14.5	12	1.5	142	24.5	60	0	100	100	50.8331579709002	0
66	601	16.1739130434783	6.1304347826087	18.2608695652174	13.7826086956522	13.1304347826087	1.65217391304348	48.4347826086956	11.5217391304348	53.0434782608696	8.95652173913044	94.3478260869565	82.6086956521739	143.077921316146	0.559834325921902
67	602	16.6190476190476	5.95238095238095	17.6190476190476	14.047619047619	13.5238095238095	1.47619047619048	48.6666666666667	16.1904761904762	29.047619047619	5.33333333333333	96.6666666666667	90.4761904761905	142.250985548247	0.314492201281411
68	603	21.25	6.15	16.6	13.6	12.75	1.1	36	14.55	51	0	100	100	70.4947153633646	0.422709087805991
69	604	18.8095238095238	8.47619047619048	17.7142857142857	14.7619047619048	15.1428571428571	1.57142857142857	55.1428571428571	16.1428571428571	34.7619047619048	3.71428571428571	97.6190476190476	90.4761904761905	98.9101245361268	0.684954761053158
70	605	17.64	7.04	16.88	15.08	14.96	2.12	55.64	11.24	29	1.52	99	96	98.4892207057598	0.747435909174486
71	606	16.9047619047619	6.42857142857143	16.8571428571429	13.7619047619048	13.8571428571429	1.85714285714286	65	15.3809523809524	14.2857142857143	0	100	100	96.4901665092075	0.548874384484994
75	610	16.8	7	16.72	14.36	13.6	1.8	56.6	14.68	36.6	3.28	97.8	88	133.770284833355	0.443306691468087
