;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;;STD;;;;;;;;;;;;;;;;;;;;;;;;
11;4,691662239;4,487677199;2,649145624;0,598623526;-0,942791312;4,122047052;7,607667893;3,855787689;8,055994695;5,273251439;5,713595764;2,893318855;4,732753592;5,722713407;5,404659496;4,256182403;4,527008406;3,309178346;4,725956086;5,283564126;7,392510971;4,665446927;4,462634404;0;4,312024534;2,168231129;0,175090976;0,081011965;-0,766928806;-1,71264076;-2,423549675;-0,087618649;1,519968658;-0,210418917;1,72673942;0,443323081;0,646412281;-0,654314783;0,194042532;0,650617387;0,503929192;-0,025754695;0,099151732;-0,462518121;0,190907485;0,448079349;1,420737114;0,163000332;0,069462092;-1,988729189
12;5,279101558;7,510910231;8,095382912;0,611674827;0,728738322;3,609861009;1,628636906;0,997926825;0,871387876;4,509373078;4,417564309;4,017498629;2,95026737;5,360933108;2,025206307;4,394956622;5,932968863;3,423420294;6,584462633;2,905315055;4,987800514;4,666948244;5,575927426;0;3,795260955;2,243653516;0,661350156;1,65607089;1,916571309;-1,418929485;-1,366754096;-0,082633056;-0,965667842;-1,246776345;-1,303174959;0,318280928;0,277361611;0,099051691;-0,376615007;0,69782261;-0,788916218;0,267285328;0,952779871;-0,165729984;1,243151698;-0,396650326;0,53151681;0,388512434;0,793645925;-1,691553944
13;5,148814854;2,662654019;3,580606964;1,422697489;-0,429532541;4,054527699;4,16547539;3,200606647;9,995487743;10,60405614;11,56575177;5,302914283;9,398469822;8,935824147;11,29580341;7,588091967;8,963512344;6,929332968;7,216371119;8,524118981;8,687933891;6,592418499;8,306893151;0;6,404701281;3,469231884;-0,362007058;-1,078638554;-0,814040229;-1,436053847;-1,969955901;-0,677433409;-0,645452932;-0,923574653;1,035037894;1,210456666;1,487663743;-0,317588168;0,862948526;0,729591722;1,409851602;0,341110287;0,737572797;0,151224163;0,233962406;0,610918431;0,658137791;0,054109158;0,548303467;-1,846143901
14;1,566454466;5,3378222;2,084225119;5,532380905;4,893691673;4,720211835;1,360997014;1,017625965;-1,520103654;3,990411334;6,082212574;3,56716045;2,081181287;3,799879129;2,100961019;5,333864695;8,359597693;4,37214534;4,361634664;4,024826354;4,789671671;3,923448032;6,663509347;0;3,685158713;2,242178041;-0,944931316;0,737079508;-0,714008239;0,823851701;0,538999552;0,461628427;-1,036564294;-1,189706036;-2,321520536;0,136141116;1,069073828;-0,052626625;-0,715365772;0,051164722;-0,706544112;0,735314481;2,084776005;0,306392541;0,301704833;0,15149004;0,49260716;0,106275824;1,328329232;-1,643562039
15;-5,275418231;-7,079876026;-4,514109711;-5,717350183;-6,379705327;-3,925942427;-4,87755207;-5,13629103;-6,441248736;-0,381039238;2,334262174;-3,029569651;-4,016452404;-0,952058291;-7,084179644;-1,839195162;-4,195623113;-0,900853236;-0,703843618;0,022318457;3,021575638;1,679756068;-0,508070437;0;-2,745852758;3,052735487;-0,828622553;-1,419717917;-0,579236871;-0,973388437;-1,190359461;-0,38656794;-0,698291523;-0,783047952;-1,210519546;0,774653923;1,664118936;-0,092938577;-0,416216751;0,587602324;-1,421127675;0,296998413;-0,474908606;0,604375823;0,668911259;0,906783843;1,889265683;1,449719062;0,73304167;0,899472873
16;8,60469315;5,036212158;9,64785642;-3,148757858;-2,194688502;3,110953572;0,570289652;0,794933407;6,60397886;4,161863285;4,222135418;3,048270404;4,684381462;6,484546411;2,557977719;2,932047936;3,134823787;3,374907999;5,961820485;2,551431641;3,826656695;3,418738468;1,875691693;0;3,385865177;2,971007062;1,756585516;0,555484032;2,107699885;-2,199463987;-1,8783374;-0,092531455;-0,947683889;-0,872071899;1,08317268;0,26119026;0,281477029;-0,113629745;0,437062672;1,042973365;-0,2786555;-0,152748624;-0,08449707;-0,003688035;0,867031028;-0,28085882;0,148364345;0,011064696;-0,508303566;-1,13963552
17;4,50440062;3,916147071;3,201674337;0,83090778;2,785389859;4,853936012;3,400144291;3,612994262;4,418823333;0,704640858;0,45851411;0,40099598;1,803871067;2,845879466;0,28217071;2,133559666;2,313972242;0,443316404;1,497346763;1,539830228;0,293569928;0,934782147;0,073706663;0;1,968773908;1,574012414;1,610931838;1,237203179;0,783285073;-0,722907976;0,518811633;1,832998315;0,909376806;1,044604438;1,556562961;-0,803127751;-0,959496751;-0,996039113;-0,104765909;0,55724183;-1,071531065;0,104691524;0,219311062;-0,969152143;-0,299506624;-0,272516072;-1,064288925;-0,656914616;-1,203972235;-1,25079948
18;8,544656692;4,501786147;1,834414466;0,143295029;0,576806089;8,492408709;1,883239011;4,398626295;4,915579592;-1,758181558;-2,628620759;0,281568425;1,28729436;1,994618804;0,043348068;-0,402651651;-0,204984959;-1,89236269;-0,987603201;0,227940807;-2,105242089;-0,253678272;-1,674808596;0;1,134060363;3,044162443;2,43436297;1,106289775;0,230064629;-0,325464016;-0,183056681;2,417199635;0,246103374;1,072402013;1,242219921;-0,950094476;-1,236031648;-0,28004154;0,050336997;0,282691366;-0,358296351;-0,50480618;-0,43987315;-0,994172653;-0,69696135;-0,297658083;-1,064103021;-0,455868785;-0,92270666;-0,372536086
19;-0,479728717;-1,926665421;-3,607065742;4,737625029;0,949709046;4,240115295;-2,999947779;-0,383282413;-4,33846341;-3,379716883;-2,542754179;-2,551335467;-2,6645647;-1,866572279;-5,534512019;-2,047682531;-2,352790334;-3,197796581;-2,31006151;-0,972163826;-1,615233418;-2,153488465;-2,562964712;0;-1,648305876;2,34710918;0,497879335;-0,118596761;-0,834541436;2,720764317;1,106899902;2,508797298;-0,575875172;0,538970864;-1,146157817;-0,737678086;-0,381085086;-0,384741195;-0,432983192;-0,092993715;-1,655741529;-0,170156829;-0,300149846;-0,660169846;-0,281944973;0,288074392;0,01409072;-0,215236084;-0,389695905;0,702270644
20;-0,351805449;0,402322105;0,45428941;0,11926062;-1,576045162;2,309609837;7,01381518;0,037664019;0,543075386;5,200398125;7,353407193;2,198233825;0,993220774;4,943606623;1,959621948;4,617564983;5,066566623;5,152516197;5,729094962;5,954229678;8,137924779;5,606052051;6,780795767;0;3,276892478;2,954475434;-1,228203791;-0,972954569;-0,955365218;-1,068762266;-1,642571668;-0,32739573;1,264834583;-1,096380231;-0,925313868;0,65104811;1,379776142;-0,36509312;-0,772953357;0,564132003;-0,445855977;0,453776833;0,60575022;0,634841535;0,829995896;0,906197144;1,645311464;0,788349616;1,185964604;-1,109128355
21;4,831473521;8,442701279;8,312801809;0,632331059;0,940476665;6,216700609;0,25328037;2,353929983;0,159360444;0,421862431;0,714679442;2,600384353;1,099933788;3,898197493;-0,391308176;2,228265367;3,416609551;0,78190588;3,511001527;0,314488872;1,078387837;2,357454876;1,229215136;0;2,308505588;2,496113821;1,010758368;2,457498388;2,405457704;-0,671513661;-0,548063518;1,565711863;-0,823369993;0,018198046;-0,860996452;-0,755832183;-0,638523024;0,116933275;-0,484181366;0,636866753;-1,081606833;-0,032146058;0,443931664;-0,611590584;0,481747238;-0,798848474;-0,492813164;0,019610199;-0,432388316;-0,924839873
